#NAME	ERR9752048	ERR9752060	ERR9752066	ERR9752099	ERR9752105	ERR9752116	ERR9752121	ERR9752145	ERR9752159	ERR9752171	ERR9752177	ERR9752183	ERR9752193	ERR9752233	ERR9752239	ERR9752255	ERR9752265	ERR9752280	ERR9752286	ERR9752297	ERR9752317	ERR9752352	ERR9752376	ERR9752409	ERR9752414	ERR9752423	ERR9752438	ERR9752458
K00116	8.88724	0.0	78.22485	2.61716	16.56523	41.565756	39.279665	7.661013	2.013757	4.47814	2.274137	62.18621	0.0	39.2150131	36.028399	7.6580070000000005	6.91883	24.873219	6.62506	8.41931	4.4462184	0.507124	251.179481	30.080798	41.622009	6.41344	1.257172	1.5383691
K00117	4.4095427	0.0	0.0	0.0	0.0	0.242826	0.0	4.38196	0.0	0.0	0.0	0.0	0.0	0.1936896	8.44038	3.03954	3.0041	0.910146	0.0	0.0	0.0	0.0	0.0	2.5012	1.21508	0.664452	0.57633	0.0
K00121	8.37588	39.4022	153.89199	0.0	22.139352	0.212962	9.8055	8.98362	0.0	4.85758	0.0	157.527979	0.0	28.646048	62.5074	10.17482	106.5949399	16.9706	0.0	258.6579	0.0	0.0	0.0	42.217247	8.5509	24.751	0.0	30.290828
K00123	24.116613	37.307	149.7173	0.0	26.0003866	5.1009613	18.740505	9.438087	80.84458000000001	41.7532	15.83508	69.48602	79.55400300000001	160.0896421	42.625831	32.44084	20.21497	37.7448598	16.0404	0.0	95.217982	87.5886	46.441568000000004	23.006029	1.894006	39.759768	1.65095	21.6043201
K00124	26.83785	43.482	90.3482	0.0	48.5198596	4.085401	31.2008	27.0329452	74.434415	145.750209	1.991363	98.1056	103.7424	64.300172	59.0664	38.468397	109.5836	69.72489999999999	0.0	105.459	81.3782	92.1634	238.67972	43.901041000000006	31.288637599999998	16.63832	0.479264	49.764484
K00127	15.60592	38.5324	58.6862	0.0	45.106204	4.5133491	14.6322	10.619359	65.252826	113.41542000000001	5.584942	148.70486	100.17595	30.641632	22.18559	37.67877	109.09114	23.46336	0.0	49.5672	103.2826	118.9846	133.6182	30.72239	10.45068	3.684723	8.103857999999999	37.702625
K00128	137.66681	64.1902	85.101207	377.92379999999997	60.6671364	113.860031	0.3198943	50.1214	0.0	0.0	71.032787	19.54168	0.0	3.461876	69.0730145	1.425812	9.36616	131.792341	196.61903	5.1986	2.8132	0.2638701	203.50362	6.3334410000000005	17.259055	0.0	294.29634	18.52122
K00130	3.38598	17.32678	62.0662	0.0	24.82157	1.5186477	9.34244	2.8023895	29.883873	0.0	1.083106	92.10935	76.87335	53.2364395	8.38352	3.54356	64.3926	3.46206	0.0	0.0	56.7099778	60.6130431	165.9132	0.0	4.70702	2.81138	0.0	29.9552
K00131	6.011783	1.059114	6.3889569999999996	0.0	0.0	3.0432	0.0	0.9950209999999999	123.88770000000001	0.0	0.0	82.71972	3.05856	2.022878	3.669784	2.139563	179.393556	0.0	6.29915	183.77145000000002	57.952619999999996	23.545632	3.9046816	0.0	0.0	1.983504	0.0	0.0
K00133	26.372843	85.102412	64.11435900000001	20.26256	114.936718	88.726128	4.73854	55.265595	86.0905985	115.125467	16.269161	135.622369	115.203813	114.8794078	22.165207	47.830932000000004	220.95396	10.2888	38.18518	262.449603	145.434064	125.1129723	324.760421	13.18286	2.7034788	8.436776	0.348516	87.17051599999999
K00134	169.24259700000002	121.4938353	325.2755371	370.90998	146.05506780000002	144.7734076	86.5628593	79.6684408	238.14167999999998	93.89743	60.942017	223.29394	82.599193	184.9548278	115.9057841	78.2398008	197.8947962	179.990992	296.08385	235.83773	91.630952	102.255451	508.242637	116.6578124	67.0425928	329.0214802	397.92715899999996	39.63784
K00135	0.621468	43.32	0.0	0.0	13.341	0.919362	18.52128	0.0	64.575998	44.0462	0.0	101.061179	0.0	46.523346000000004	0.0	0.0	185.80058	44.42354	0.0	0.0	112.218814	122.299577	71.0206	46.560210000000005	25.001559999999998	1.078112	0.650476	0.0
K00137	5.6359752	0.0	0.0	0.0	0.0	0.1434996	0.0	5.8961	0.0	18.73346	0.0	0.0	0.0	6.0290767	20.657549	1.153848	1.402356	0.0	0.0	0.0	0.0	0.0	226.54	1.593527	4.264058	34.162455	0.52225	9.11602
K00138	2.168656	0.0	0.0	0.0	0.0	1.8291938	10.07324	0.0	0.0	51.17701	0.827848	0.428282	0.0	1.99412	0.983554	0.0	0.0	24.1952	0.0	0.0	0.0	0.0	0.0	47.71424	45.897913	0.0	0.75084	13.13142
K00145	245.14827499999998	167.451268	253.57806100000002	463.252059	128.497666	115.43357999999999	148.74675820000002	162.75568099999998	31.884402	155.4514	83.893361	156.2508	0.0	123.220294	89.69821	64.074	19.356264	183.5764462	343.76619800000003	3.776854	53.88277	102.2792	219.4621	7.80255	142.0412263	166.8526244	246.3153928	0.0
K00146	8.492298	0.0	0.0	0.0	0.0	0.0	0.0	4.97878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.81042	0.6762	0.0
K00147	259.158041	200.62172360000002	114.08388	470.36746	303.229692	295.495586	110.83375	140.0600746	307.829924	357.17815	250.27199699999997	157.032246	74.377045	86.7661109	128.342622	59.129466	367.52833400000003	193.4915732	359.966713	448.402331	113.53701170000001	190.443421	228.89561999999998	99.216053	95.106253	329.5416906	194.03903	78.2538603
K00153	0.52776	0.0	0.0	3.07762	0.73596	0.0	0.0	0.0	0.64331	3.15852	0.0	0.0	0.0	0.0	0.0	0.59865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00156	42.58419	0.0	0.0	0.0	10.310922999999999	0.201514	77.8844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.697138	27.882645	149.3784	8.25298	0.0	0.0	0.0	0.0	0.0	0.87865	0.0	0.752668	0.0	0.0
K00158	1.5609155	16.976561999999998	5.881037999999999	30.47332	86.564338	101.72659	0.2306859	0.9674459	27.6744393	6.17882	9.570806	2.49348	1.654138	4.3222356	10.65902	16.972774	40.2301494	9.529195	46.1712366	18.895818000000002	46.905563	0.9195757	50.53538	0.0	0.0	0.0	0.0	0.0
K00163	3.5171580000000002	34.3158	61.862	0.0	18.87935	6.8233977	20.707792	5.087461	55.380759999999995	156.26597999999998	4.5630377	100.01156	87.99473599999999	146.4214545	16.82492	9.1666632	4.77408	37.782986	0.0	0.0	81.08297	86.739737	150.5392	34.899594199999996	16.8410618	2.774138	0.839986	79.8996171
K00164	6.871527	35.169	21.75114	3.976	16.822768999999997	10.929375	10.74124	2.237401	49.774643	80.75721	1.0264757	89.02877000000001	34.587177600000004	82.6960147	16.377542	26.5988425	142.9791855	12.4568	1.85683156	1.466236	69.20732500000001	79.3085725	149.075155	14.170775	5.6915936	2.049217	0.256108	48.941065
K00174	17.50058	50.484047000000004	0.0	0.0	2.528762	5.1345410000000005	0.0	49.787158	29.4556	0.0	1.074268	0.0	0.0	0.427268	0.0	0.0	0.0	0.0	0.0	0.0	0.326288	0.0	0.0	0.0	0.0	68.74375	2.858	0.0
K00175	22.55295	52.967803999999994	0.0	0.0	2.977784	4.7230606	0.0	48.383637	29.2634	0.0	5.789629	0.0	0.0	0.337108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.210593	8.21878	0.0
K00176	18.90336	84.439	0.0	0.0	0.0	6.00086	0.0	61.69061	34.0158	0.0	3.17368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00177	6.42914	0.0	0.0	0.0	0.94311	0.0	0.0	0.0	0.0	0.0	4.36984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00179	21.96201	44.11533	0.0	0.0	2.718916	4.5161	0.700246	42.142204	24.633	0.0	6.4938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.914974	0.0	0.0	0.0
K00180	11.12936	0.0	0.0	0.0	3.33094	0.0	0.0	0.0	0.0	0.0	13.10186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00183	10.73512	0.0	0.0	0.0	4.0112	0.0	0.0	0.713496	0.0	0.0	16.13468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.41548	0.0
K00184	19.44818	0.0	0.0	0.0	2.4918	0.0	0.0	1.33095	0.0	0.0	21.0782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.58066	0.0
K00185	12.74916	0.0	0.0	0.0	3.72502	0.0	0.0	0.33851	0.0	0.0	14.3498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.455877	0.0
K00208	5.2142447	41.0144	137.6982309	0.0	41.5809489	15.655015	8.8179024	16.975862	58.2937687	53.986670000000004	0.687506	157.4277712	69.0616	85.5326374	36.2554017	51.208863	184.6496618	8.2330767	18.251061	253.517631	96.71315799999999	215.1716	153.145567	25.430667	15.1829013	13.15536	0.0	24.371783999999998
K00210	17.30586	41.8188	0.0	0.0	1.667832	5.43061	0.0	53.367129999999996	25.8888	0.0	0.684794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00215	175.563814	147.68103100000002	215.535724	488.9792	363.19025	396.0704363	0.2473861	83.080362	285.66757	149.600529	433.07691	145.38803280000002	71.787794	107.3636013	146.818611	48.2531446	263.8856705	195.25284729999998	358.865659	257.6181051	54.554598999999996	85.171972	41.753004000000004	9.984380999999999	17.191425	171.28029099999998	217.056284	40.07985
K00216	4.881297	0.0	0.0	9.95296	0.67552	0.379942	0.0	4.18066	0.0	31.630366000000002	0.0	0.0	0.0	0.0	60.245812	0.452496	0.0	0.0	0.0	0.0	0.0	0.0	157.1928	0.0	0.0	52.8502	0.0	0.0
K00219	0.74946	0.0	0.0	0.0	0.0	0.0	0.0	11.34124	0.0	4.88464	0.0	0.0	0.0	0.0	6.72666	0.0	84.6294	5.60846	0.0	0.0	0.0	0.0	242.126	19.01118	12.487337	4.86062	0.0	0.0
K00226	5.518105	2.5327644	8.673055999999999	5.77404	12.819969	33.010653	0.31197220000000003	1.2486190000000001	99.966352	42.9332	1.6532689999999999	45.0823181	0.785258	13.756152499999999	24.6146	25.390366999999998	4.4974413	3.1459384999999997	10.696777	41.0198	8.8723202	94.3223692	26.573842	0.0	0.0	1.984934	0.0	3.12906
K00228	12.26536	38.0412	0.0	0.0	13.5641	2.0101443999999997	21.32057	10.98766	53.848783	66.70741	1.436384	68.0918	18.81854	90.1545542	30.3264	0.0	0.822664	25.73798	30.36394	0.0	76.3288	88.018	0.0	51.65461	18.402269999999998	21.3924	0.0	60.55067
K00230	4.97022	0.0	2.50472	0.0	0.279796	2.4424625	53.7528	2.5359405	0.0	40.9212	1.247366	0.0	0.0	0.0	13.93742	0.0	0.0	62.566376000000005	0.0	0.0	0.0	0.0	120.592	65.45761	54.81521	0.0	0.0	0.0
K00239	2.627758	62.9992	1.8965081000000001	0.0	13.3950858	13.616184	36.222222	0.294154	56.531423	72.6288	3.1135148999999998	85.95115	44.1836	67.1709967	7.5299631	9.409196	85.3318112	66.03802	34.398974700000004	4.541867	53.143678	75.0628	132.289086	64.97075219999999	27.4188	0.43968	0.20382	25.1468494
K00240	168.193206	190.827577	179.3843	396.80922	79.597392	100.550372	40.256263	118.77057	81.73929	153.8008	69.480377	128.67165	71.894271	102.8177161	110.30752	14.467939000000001	88.49352999999999	206.699886	249.79039999999998	0.0	103.72461	106.96296	117.593415	62.227962	45.797837200000004	148.3418258	295.06180370000004	24.620412
K00241	28.394812	84.37986000000001	126.409166	0.0	30.7822053	20.515037	39.225249	80.10196	91.240053	532.22806	2.91758	125.49764	85.26533	114.010561	20.235795	18.251821	255.698089	43.983576000000006	1.73257	175.954296	93.6677546	220.25181	279.475545	115.014789	34.40218	7.735863999999999	10.113793	199.0454019
K00242	23.341523	0.0	158.1606	4.68744	8.681	5.511699	59.0518	22.4338	0.253762	88.95251	3.46082	29.030604	0.0	1.55513	30.6082	23.4434	0.0	71.276979	0.0	0.0	0.0	0.0	0.0	285.39212	46.977450000000005	6.78804	0.0	0.0
K00243	8.422398	5.614599	4.2585559	0.0	2.90824	10.307939	0.0	3.4279205	114.41882	42.8102	0.573072	47.279	0.0	2.0023955	20.425791	27.47717	4.8636149	0.965454	7.934186	16.46981	10.7556875	13.36444	22.324032000000003	2.1490841	0.0	3.81626	0.0	0.0
