#NAME	ERR9752048	ERR9752053	ERR9752060	ERR9752065	ERR9752066	ERR9752070	ERR9752099	ERR9752104	ERR9752105	ERR9752110	ERR9752116	ERR9752120	ERR9752121	ERR9752125	ERR9752145	ERR9752150	ERR9752159	ERR9752164	ERR9752171	ERR9752176	ERR9752177	ERR9752181	ERR9752183	ERR9752187	ERR9752193	ERR9752197	ERR9752233	ERR9752238	ERR9752239	ERR9752243	ERR9752255	ERR9752259	ERR9752265	ERR9752270	ERR9752280	ERR9752285	ERR9752286	ERR9752290	ERR9752297	ERR9752302	ERR9752317	ERR9752321	ERR9752352	ERR9752357	ERR9752376	ERR9752380	ERR9752409	ERR9752413	ERR9752414	ERR9752417	ERR9752423	ERR9752427	ERR9752438	ERR9752442	ERR9752458	ERR9752462
K13922	0.0	0.0	0.0	0.0	0.0	0.7875601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9356544	0.0	0.0	0.749162	0.971914	0.0	0.0	0.0	0.0	0.0	0.489488	0.0	1.083418	0.0	0.777968	0.0	0.0	0.0	0.0	0.0	2.7449239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.94262	0.0	0.0	0.910008
K14475	0.0	0.0	0.0	0.0	0.0	0.915306	0.0	0.0	0.0	0.0	1.227058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.361356	0.0	0.567104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.23519	0.0
K14654	0.0	0.0	0.0	0.0	0.0	1.3845129999999999	0.0	0.748096	0.0	0.0	0.0	0.0	0.0	1.14555	0.0	2.0283974000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5253204	0.0	0.0	0.651752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1167547	0.0	0.0	0.0	0.0	0.0	0.54179	0.0	2.990104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.832104	0.0	4.2036
K14731	0.0	0.0	0.0	0.0	0.0	0.534392	0.0	0.627848	0.0	0.0	0.0	11.66498	0.0	1.5131	0.0	4.028423	0.0	1.95725	0.0	0.609462	0.0	1.82916	0.0	0.552296	0.0	0.642522	0.0	0.646912	0.0	4.15538	0.0	0.841048	0.0	1.914098	0.0	3.509402	0.0	0.0	0.0	2.3187	0.0	2.75166	0.0	2.07064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.48706	0.0	0.0	1.240138
K14989	0.0	0.0	0.0	0.0	0.0	1.627798	0.0	0.0	0.0	2.369176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.347697	0.0	8.08772	0.0	1.744696	0.0	0.0	0.0	0.0	0.0	0.8036743	0.0	0.0	0.0	0.0	0.0	0.806614	0.0	26.04557	0.0	30.29936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K15873	0.0	0.0	0.0	0.0	0.0	0.64865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.76188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K16169	0.0	0.0	0.0	0.0	0.0	0.60005	0.0	0.0	0.0	0.0	0.0	5.11828	0.0	0.0	0.0	0.0	11.8458	0.0	0.0	0.0	0.441616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.868142	0.0	0.0	38.7292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.158637	0.0	0.96604	24.9066	0.0	0.740462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K16788	0.0	0.0	0.0	0.0	0.0	0.54334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.40698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.6576	1.75146	33.5846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.441068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K17716	0.0	0.0	0.0	0.0	0.0	0.31426	0.0	1.271086	2.13884	0.0	0.673604	0.0	0.0	0.594072	0.0	2.074858	0.0	0.0	0.0	0.0	5.3158	3.282703	0.0	1.062986	0.0	0.69679	0.0	0.43193	0.1833712	2.421103	0.0	5.636213	0.0	0.6552918	5.65912	1.831178	0.0	1.134026	0.0	0.9813	0.534598	0.705482	0.0	0.0	0.0	0.0	1.311976	5.8482270000000005	0.0	0.0	0.0	2.35846	0.0	0.0	0.0	0.0
K17899	0.0	0.0	0.0	0.0	0.0	0.841788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.016506	0.0	0.0	0.897994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.912064	0.0	0.0	0.0	0.0	0.0	1.712174	0.0	5.58848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.77504	0.0	0.0	2.15742
K17910	0.0	0.0	0.0	0.0	0.0	0.573982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.76126	0.0	0.782922	0.0	0.0	0.0	2.515297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29951	0.0	0.0
K18345	0.0	0.0	0.0	0.0	0.0	0.432538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.773156	0.0	1.790564	0.0	0.393566	0.0	0.0	0.0	1.298054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K18891	0.0	0.0	0.0	0.0	0.0	0.353414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.85736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.769946	0.0	0.0	29.8034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.969994
K18892	0.0	0.0	0.0	0.0	0.0	0.575702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
